filename,category,description
2021-03-06_CMDrcyhnacH.jpg,painting,sunflowers-in-vase
2021-03-06_CMDrfYCHlOP.jpg,painting,wildflower-meadow-painting
2021-03-06_CMDsAkjHOV6.jpg,other,art-brushes-studio
2021-03-06_CMDu7RPnutI.jpg,painting,small-paintings-collection
2021-03-06_CMDukYOHpvm.jpg,painting,blue-bottle-painting
2021-03-06_CMDuq2TnZJx.jpg,painting,lone-tree-landscape
2021-03-06_CMDvNKaHbnb_1.jpg,other,painted-stool-after
2021-03-06_CMDvNKaHbnb_2.jpg,other,wooden-stool-before
2021-03-06_CMDvUKInOAa_1.jpg,other,decorated-living-room
2021-03-06_CMDvUKInOAa_2.jpg,other,art-studio-easel
2021-03-06_CMDvUKInOAa_3.jpg,other,bedroom-with-paintings
2021-03-06_CMDvuSUnAnK.jpg,painting,colorful-village-buildings
2021-03-06_CMDwLCInNFQ.jpg,painting,purple-flowers-in-vase
2021-03-06_CMEW2lgnlS-.jpg,painting,wildflowers-by-lake
2021-03-06_CMEXIJYHEPS.jpg,painting,abstract-colorful-cityscape
2021-03-06_CMEXN74HvBH.jpg,painting,colorful-city-moonlight
2021-03-06_CMEXfDoH3LX.jpg,painting,tea-cup-red-shoes
2021-03-06_CMEYOfxHsYS.jpg,painting,cat-flowers-fairy-lights
2021-03-06_CMEYpH1H8Sl.jpg,other,paintings-on-orange-wall
2021-03-06_CMEYsOyn252.jpg,painting,grey-city-orange-accents
2021-03-06_CMEYwHtHPD-.jpg,painting,pink-flowers-in-pot
2021-03-06_CMEZ3KDHdmx.jpg,painting,woman-portrait-golden-hair
2021-03-06_CMEZmk2Hof9.jpg,artist,artist-with-brushes
2021-03-06_CMEa80wHmYE.jpg,painting,red-wildflowers-sunset
2021-03-06_CMEb6bWHk_v.jpg,painting,colorful-tall-buildings
2021-03-06_CMEbAGnnOvJ.jpg,painting,red-flowers-on-wall
2021-03-06_CMEgtaqHf-1.jpg,painting,colorful-city-buildings
2021-03-07_CMGqsNzncqF_1.jpg,painting,cityscape-painting-piano
2021-03-07_CMGqsNzncqF_2.jpg,painting,floral-lake-painting
2021-03-07_CMGqsNzncqF_3.jpg,painting,art-corner-room
2021-03-08_CMJkQqwH8Xo_1.jpg,painting,night-city-lights
2021-03-08_CMJkQqwH8Xo_2.jpg,painting,cityscape-on-easel
2021-03-08_CMJkYyNnUXQ.jpg,cushion,pomegranate-bird-pillow
2021-03-08_CMJkdIyHoVn.jpg,cushion,colorful-flowers-pillow
2021-03-08_CMJkgfcnFro.jpg,cushion,sunflowers-vase-pillow
2021-03-08_CMJkjybHd_o.jpg,cushion,red-poppies-pillow
2021-03-08_CMJkm_dn68d.jpg,cushion,red-cat-pillow
2021-03-08_CMJkpsNHmp-.jpg,cushion,pomegranate-vines-pillow
2021-03-08_CMJkscDnmGV.jpg,cushion,three-birds-pillow
2021-03-08_CMJkvidH6y7.jpg,cushion,teal-branches-pillow
2021-03-08_CMJllKkHttH.jpg,painting,pumpkin-vase-still-life
2021-03-08_CMJmIlmHzjR.jpg,painting,colorful-cityscape-sunset
2021-03-08_CMJnxFzH61B.jpg,painting,paintings-outdoor-display
2021-03-08_CMJozFwHXAJ.jpg,other,art-wall-flower-vase
2021-03-08_CMJrLY-Hm4s.jpg,painting,skyline-reflection-painting
2021-03-08_CMJrvoDHuEx.jpg,painting,stacked-teacups-painting
2021-03-08_CMJsTaunueT.jpg,artist,artist-portrait-gallery
2021-03-08_CMJugy1HEXN.jpg,painting,colorful-abstract-pour
2021-03-08_CMJukKEnMIx.jpg,painting,pink-black-fluid-art
2021-03-08_CMJusFcntK6.jpg,painting,flowers-in-blue-vase
2021-03-08_CMKGS0dn6p9.jpg,painting,red-flower-glass-vase
2021-03-10_CMOcZxyncYr_1.jpg,other,art-studio-closeup
2021-03-10_CMOcZxyncYr_2.jpg,other,art-studio-supplies
2021-03-10_CMOcgpDnkmU.jpg,painting,red-wildflower-purple-background
2021-03-12_CMUCWqFnJNv_1.jpg,artist,artist-in-park
2021-03-12_CMUCWqFnJNv_2.jpg,artist,artist-black-white-pose
2021-03-12_CMUCWqFnJNv_3.jpg,artist,artist-smiling-scarf
2021-03-20_CMqEHqUnznh.jpg,other,nowruz-table-paintings
2021-04-05_CNQ5SsnHodf_1.jpg,painting,night-city-spring-tree
2021-04-05_CNQ5SsnHodf_2.jpg,painting,tree-buildings-night
2021-04-29_COPgDgCHjj__1.jpg,painting,colorful-abstract-flowers
2021-04-29_COPgDgCHjj__2.jpg,painting,painting-on-blue-wall
2021-04-29_COPgDgCHjj__3.jpg,painting,colorful-floral-canvas
2021-05-05_COeRNdtHTKl_1.jpg,painting,crow-and-black-cat
2021-05-05_COeRNdtHTKl_2.jpg,painting,black-crow-portrait
2021-05-05_COeRNdtHTKl_3.jpg,painting,crow-on-cat-head
2021-05-05_COeS0z9nWJH.jpg,painting,crow-cat-on-wall
2021-06-06_CPzAhLyHDun.jpg,artist,artist-with-still-life
2021-06-08_CP4NI_7nvWe_1.jpg,other,colorful-dining-nook
2021-06-08_CP4NI_7nvWe_2.jpg,other,art-wall-before-change
2021-06-08_CP4NI_7nvWe_3.jpg,other,lumber-store-aisle
2021-06-08_CP4NI_7nvWe_4.jpg,artist,artist-building-shelf
2021-06-08_CP4NI_7nvWe_5.jpg,other,wood-staining-before-after
2021-06-08_CP4NI_7nvWe_6.jpg,other,dining-area-before-design
2021-06-15_CQIK3WAn4wa.jpg,painting,red-flowers-in-vase
2021-06-22_CQaKAVRnwEl.jpg,painting,woman-portrait-orange-hair
2021-07-04_CQ5bnsxnjvI.jpg,painting,pink-flamingo-colorful
2021-07-06_CQ9yNP3n_AC.jpg,artist,artist-holding-flamingo-painting
2021-07-13_CRP0rP5HNHV.jpg,other,newspaper-article-artist
2021-07-17_CRa0xR_HK24.jpg,painting,white-daisies-cluster
2021-08-05_CSLwpFTL-dx.jpg,painting,red-haired-woman-portrait
2021-08-05_CSLwwr2L_az.jpg,painting,woman-eyes-closeup
2021-08-05_CSLyNM3LzWq.jpg,painting,red-hair-portrait-wall
